ga:cityId,ga:dimension5
1012873,city
1012874,small town
1012875,small town
1012876,small town
1012878,small town
1012880,small town
1012881,small town
1012882,small town
1012883,small town
1012887,town
1012888,small town
1012891,small town
1012894,small town
1012895,small town
1012896,town
1012897,small town
1012898,small town
1012899,small town
1012900,small town
1012901,small town
1012902,small town
1012904,small town
1012906,small town
1012907,small town
1012908,small town
1012909,small town
1012911,small town
1012912,small town
1012913,small town
1012915,small town
1012918,small town
1012921,small town
1012922,small town
1012923,small town
1012924,small town
1012925,small town
1012927,small town
1012928,small town
1012929,small town
1012931,town
1012932,town
1012933,small town
1012935,small town
1012937,small town
1012938,town
1012939,small town
1012941,small town
1012942,small town
1012943,small town
1012944,town
1012945,small town
1012946,small town
1012947,large town
1012949,small town
1012951,small town
1012952,small town
1012953,town
1012954,city
1012955,small town
1012956,small town
1012958,small town
1012959,small town
1012963,small town
1012964,small town
1012966,small town
1012967,small town
1012968,small town
1012969,small town
1012971,small town
1012972,small town
1012973,small town
1012974,small town
1012975,small town
1012976,small town
1012977,small town
1012978,small town
1012979,small town
1012981,small town
1012982,small town
1012983,small town
1012984,small town
1012985,small town
1012986,small town
1012987,town
1012988,small town
1012989,small town
1012990,large town
1012991,small town
1012993,large town
1012995,small town
1012997,small town
1012998,small town
1012999,town
1013000,small town
1013001,small town
1013002,small town
1013003,small town
1013004,small town
1013005,town
1013006,small town
1013007,town
1013008,town
1013010,small town
1013011,small town
1013013,small town
1013014,small town
1013015,town
1013016,small town
1013017,small town
1013018,small town
1013019,small town
1013020,small town
1013022,small town
1013023,small town
1013024,small town
1013025,small town
1013026,small town
1013027,small town
1013028,small town
1013029,small town
1013030,small town
1013031,small town
1013032,small town
1013034,small town
1013035,small town
1013037,small town
1013038,small town
1013039,town
1013040,small town
1013042,city
1013044,small town
1013046,small town
1013047,small town
1013048,small town
1013050,small town
1013051,small town
1013053,small town
1013054,small town
1013055,small town
1013056,small town
1013058,small town
1013059,small town
1013060,small town
1013061,small town
1013062,small town
1013063,small town
1013064,small town
1013065,small town
1013066,town
1013067,small town
1013069,small town
1013070,small town
1013071,city
1013072,small town
1013073,small town
1013074,city
1013076,small town
1013077,small town
1013078,small town
1013079,small town
1013080,small town
1013082,small town
1013083,small town
1013085,town
1013086,small town
1013087,small town
1013088,small town
1013089,town
1013090,small town
1013091,small town
1013092,town
1013093,small town
1013094,small town
1013095,town
1013096,small town
1013097,small town
1013099,town
1013100,small town
1013101,small town
1013102,small town
1013103,small town
1013104,small town
1013105,town
1013107,small town
1013108,small town
1013109,small town
1013111,small town
1013112,small town
1013113,small town
1013114,small town
1013115,small town
1013116,small town
1013118,small town
1013119,small town
1013120,town
1013121,small town
1013123,small town
1013125,small town
1013126,small town
1013127,small town
1013128,small town
1013129,small town
1013131,small town
1013132,small town
1013133,small town
1013135,small town
1013137,town
1013138,town
1013139,large town
1013140,small town
1013141,small town
1013143,small town
1013144,small town
1013145,small town
1013147,small town
1013148,small town
1013149,small town
1013150,small town
1013151,small town
1013152,small town
1013153,small town
1013154,small town
1013156,small town
1013157,small town
1013158,small town
1013159,small town
1013160,small town
1013161,small town
1013163,small town
1013164,small town
1013165,small town
1013166,small town
1013167,small town
1013168,small town
1013169,small town
1013170,small town
1013171,small town
1013172,town
1013173,town
1013174,town
1013175,small town
1013176,small town
1013177,small town
1013178,small town
1013179,small town
1013180,small town
1013181,small town
1013183,small town
1013184,town
1013185,small town
1013186,town
1013187,small town
1013188,small town
1013189,small town
1013190,small town
1013191,small town
1013193,small town
1013195,small town
1013196,small town
1013197,small town
1013198,small town
1013200,large town
1013201,small town
1013202,small town
1013203,small town
1013204,small town
1013205,small town
1013206,small town
1013207,small town
1013208,small town
1013209,small town
1013210,small town
1013211,small town
1013212,town
1013213,small town
1013214,small town
1013215,small town
1013216,small town
1013217,small town
1013218,small town
1013219,large town
1013220,small town
1013222,small town
1013223,small town
1013224,small town
1013225,small town
1013226,large town
1013227,small town
1013228,small town
1013229,small town
1013230,small town
1013231,small town
1013232,small town
1013233,small town
1013234,small town
1013235,small town
1013236,small town
1013237,small town
1013238,small town
1013239,small town
1013240,small town
1013241,small town
1013242,small town
1013244,small town
1013245,small town
1013246,small town
1013248,small town
1013249,small town
1013252,small town
1013253,small town
1013254,small town
1013255,small town
1013256,town
1013257,small town
1013259,small town
1013260,large town
1013261,small town
1013262,small town
1013263,small town
1013264,small town
1013265,small town
1013266,small town
1013267,small town
1013268,city
1013270,small town
1013271,small town
1013272,small town
1013273,small town
1013274,small town
1013275,small town
1013277,small town
1013278,small town
1013279,small town
1013280,small town
1013281,small town
1013282,small town
1013283,small town
1013284,small town
1013285,small town
1013286,town
1013287,small town
1013288,small town
1013289,small town
1013290,small town
1013291,small town
1013292,small town
1013293,small town
1013294,small town
1013296,small town
1013297,small town
1013298,small town
1013299,small town
1013300,small town
1013301,small town
1013302,small town
1013303,small town
1013304,small town
1013305,small town
1013306,small town
1013307,large town
1013308,small town
1013309,small town
1013310,small town
1013311,town
1013312,small town
1013313,small town
1013315,small town
1013316,town
1013317,small town
1013318,small town
1013319,small town
1013321,small town
1013322,small town
1013323,small town
1013324,small town
1013325,small town
1013326,small town
1013327,large town
1013329,small town
1013330,town
1013331,small town
1013334,town
1013335,small town
1013336,town
1013337,small town
1013338,small town
1013339,large town
1013340,small town
1013341,small town
1013343,small town
1013344,small town
1013345,small town
1013346,small town
1013347,town
1013349,small town
1013350,small town
1013351,small town
1013352,town
1013353,small town
1013354,small town
1013355,small town
1013356,small town
1013357,small town
1013358,small town
1013359,small town
1013360,small town
1013361,small town
1013363,town
1013364,small town
1013365,small town
1013367,small town
1013368,small town
1013369,small town
1013373,town
1013376,large town
1013377,small town
1013378,small town
1013379,large town
1013380,town
1013381,small town
1013382,small town
1013383,large town
1013385,small town
1013387,city
1013389,small town
1013390,small town
1013391,small town
1013393,small town
1013395,small town
1013397,small town
1013400,small town
1013401,small town
1013403,town
1013405,town
1013406,large town
1013407,town
1013408,town
1013409,small town
1013415,small town
1013416,city
1013417,city
1013418,small town
1013419,large town
1013422,small town
1013425,small town
1013430,small town
1013431,town
1013433,large town
1013437,small town
1013440,small town
1013442,town
1013443,town
1013445,city
1013446,small town
1013453,town
1013455,small town
1013457,small town
1013458,small town
1013460,small town
1013461,city
1013462,major city
1013463,small town
1013466,town
1013467,town
1013468,small town
1013469,town
1013474,small town
1013475,town
1013478,town
1013482,city
1013483,small town
1013486,small town
1013487,town
1013489,small town
1013491,small town
1013492,small town
1013494,small town
1013499,small town
1013500,city
1013502,city
1013503,small town
1013504,small town
1013505,small town
1013509,city
1013512,small town
1013514,small town
1013516,small town
1013517,small town
1013519,small town
1013520,small town
1013522,small town
1013523,large town
1013525,town
1013526,town
1013527,large town
1013529,town
1013531,large town
1013532,large town
1013539,small town
1013541,town
1013542,city
1013543,small town
1013548,large town
1013549,large town
1013552,large town
1013553,small town
1013556,town
1013557,small town
1013558,town
1013559,town
1013560,small town
1013561,town
1013563,small town
1013564,small town
1013565,small town
1013567,town
1013570,city
1013571,large town
1013573,town
1013574,town
1013576,town
1013577,town
1013578,town
1013580,large town
1013581,town
1013584,town
1013585,city
1013587,town
1013589,small town
1013595,small town
1013596,small town
1013600,small town
1013601,town
1013612,town
1013613,town
1013614,large town
1013617,small town
1013620,small town
1013621,large town
1013622,large town
1013623,town
1013630,town
1013631,town
1013632,small town
1013634,small town
1013635,small town
1013636,small town
1013638,large town
1013642,town
1013649,small town
1013651,large town
1013652,small town
1013655,small town
1013656,large town
1013661,large town
1013665,town
1013666,large town
1013671,large town
1013673,large town
1013674,large town
1013675,town
1013677,city
1013678,large town
1013680,town
1013681,small town
1013682,small town
1013685,small town
1013686,large town
1013687,town
1013688,small town
1013691,small town
1013693,large town
1013695,small town
1013696,large town
1013697,city
1013699,town
1013700,small town
1013701,city
1013703,town
1013704,small town
1013705,large town
1013709,town
1013710,small town
1013714,town
1013715,large town
1013716,town
1013718,large town
1013719,town
1013720,town
1013721,large town
1013724,small town
1013725,large town
1013731,large town
1013733,town
1013734,town
1013735,small town
1013736,small town
1013737,large town
1013739,town
1013740,large town
1013743,small town
1013751,large town
1013752,town
1013753,town
1013757,large town
1013758,small town
1013763,city
1013766,small town
1013768,large town
1013770,small town
1013771,city
1013773,small town
1013774,town
1013775,small town
1013777,small town
1013778,large town
1013781,small town
1013784,small town
1013786,small town
1013787,small town
1013789,large town
1013790,city
1013797,small town
1013798,large town
1013799,small town
1013802,city
1013804,city
1013806,small town
1013808,city
1013810,town
1013812,city
1013813,large town
1013817,large town
1013819,city
1013820,large town
1013822,town
1013823,small town
1013825,small town
1013826,small town
1013828,small town
1013832,small town
1013835,small town
1013836,small town
1013840,small town
1013842,small town
1013843,large town
1013846,large town
1013848,city
1013849,small town
1013852,large town
1013854,town
1013856,town
1013857,large town
1013859,large town
1013861,town
1013862,small town
1013868,small town
1013869,city
1013870,large town
1013871,small town
1013875,small town
1013876,town
1013878,small town
1013879,large town
1013880,large town
1013882,small town
1013883,city
1013884,small town
1013886,small town
1013897,small town
1013899,small town
1013902,small town
1013909,large town
1013912,large town
1013913,town
1013914,small town
1013915,town
1013916,town
1013917,town
1013919,town
1013920,town
1013921,town
1013922,large town
1013924,large town
1013925,large town
1013928,small town
1013930,large town
1013931,city
1013932,small town
1013933,town
1013935,town
1013942,town
1013943,town
1013945,town
1013947,small town
1013949,small town
9052336,small town
1013950,large town
1013951,small town
1013953,large town
1013954,town
1013955,town
1013956,town
1013958,city
1013959,small town
1013960,small town
1013961,town
1013962,major city
1013963,town
1013964,town
1013970,small town
1013973,large town
1013976,large town
1013978,small town
1013979,small town
1013980,town
1013981,large town
1013983,town
1013988,town
1013989,small town
1013992,town
1013993,small town
1014000,small town
1014001,large town
1014002,town
1014004,large town
1014009,small town
1014010,town
1014012,large town
1014017,large town
1014019,city
1014022,town
1014023,small town
1014025,town
1014027,large town
1014028,town
1014029,large town
1014031,town
1014032,small town
1014033,city
1014034,town
1014035,small town
1014042,small town
1014044,large town
1014045,large town
1014046,large town
1014047,large town
1014049,small town
1014050,small town
1014052,town
1014057,small town
1014058,large town
1014063,town
1014069,town
1014072,large town
1014073,large town
1014078,town
1014080,city
1014081,town
1014085,city
1014086,small town
1014089,city
1014090,city
1014093,town
1014094,small town
1014098,town
1014099,city
1014100,small town
1014102,town
1014106,large town
1014107,town
1014108,city
1014109,large town
1014114,town
1014115,large town
1014117,small town
1014118,city
1014121,town
1014127,large town
1014129,large town
1014133,large town
1014134,small town
1014139,town
1014140,small town
1014141,large town
1014143,large town
1014144,small town
1014148,town
1014149,large town
1014150,small town
1014151,small town
1014155,city
1014157,town
1014159,large town
1014160,small town
1014161,small town
1014162,large town
1014166,large town
1014167,city
1014168,town
1014169,town
1014171,town
1014174,small town
1014175,large town
1014176,large town
1014177,large town
1014178,large town
1014181,town
1014185,large town
1014187,large town
1014189,town
1014190,small town
1014193,small town
1014194,small town
1014195,town
1014197,city
1014199,large town
1014201,town
1014203,large town
1014204,city
1014205,small town
1014208,city
1014210,city
1014212,small town
1014214,city
1014215,town
1014216,town
1014217,large town
1014218,major city
1014219,town
1014220,town
1014221,major city
1014222,town
1014224,town
1014225,small town
1014226,major city
1014227,small town
1014228,town
1014229,large town
1014232,town
1014234,large town
1014235,small town
1014237,large town
1014239,town
1014242,large town
1014243,large town
1014246,town
1014247,city
1014248,large town
1014249,city
1014250,city
1014251,large town
1014252,small town
1014254,large town
1014255,large town
1014256,town
1014257,city
1014259,large town
1014260,town
1014261,small town
1014262,small town
1014263,town
1014264,town
1014265,small town
1014266,town
1014268,town
1014271,small town
1014276,small town
1014279,city
1014284,small town
1014285,town
1014286,small town
1014288,small town
1014289,small town
1014291,town
1014292,large town
1014293,town
1014294,town
1014295,large town
1014300,small town
1014302,town
1014306,city
1014310,town
1014315,city
1014318,small town
1014320,small town
1014322,small town
1014326,small town
1014327,large town
1014328,town
1014332,city
1014339,city
1014341,large town
1014346,small town
1014348,large town
1014349,small town
1014351,large town
1014352,large town
1014354,town
1014356,small town
1014357,large town
1014359,large town
1014361,large town
1014363,city
1014369,large town
1014370,city
1014372,small town
1014373,city
1014374,large town
1014376,town
1014377,large town
1014379,town
